YOU  Y UW
TRAVELING(1)  T R AE V L IH NG
FENCE  F EH N S
WORRYING  W ER IY IH NG
JESS  JH EH S
UNCOMFORTABLE  AH N K AH M F ER T AH B AH L
FLEW  F L UW
NOON  N UW N
OCCASION  AH K EY ZH AH N
RATS  R AE T S
MERELY  M IH R L IY
FLIES  F L AY Z
PERSONALITY  P ER S AH N AE L IH T IY
INSTRUCTIONS  IH N S T R AH K SH AH N Z
ELLEN  EH L AH N
SMOOTH  S M UW DH
FANTASY  F AE N T AH S IY
FANTASY(1)  F AE N AH S IY
CLASSES  K L AE S AH Z
CLASSES(1)  K L AE S IH Z
PRODUCE  P R AH D UW S
PRODUCE(1)  P R OW D UW S
ODDS  AA D Z
HOPED  HH OW P T
LI  L IY
PLANTS  P L AE N T S
POPE  P OW P
THIRTY  TH ER D IY
LOVERS  L AH V ER Z
MARTHA  M AA R TH AH
AUGUST  AA G AH S T
AUGUST(1)  AO G AH S T
SIGNATURE  S IH G N AH CH ER
MARRYING  M EH R IY IH NG
WONDERED  W AH N D ER D
LOIS  L OW AH S
INDIVIDUAL  IH N D AH V IH JH AH W AH L
CHARM  CH AA R M
CHAIRMAN  CH EH R M AH N
LISTENED  L IH S AH N D
SLIPPED  S L IH P T
GUS  G AH S
FRAME  F R EY M
INVENTED  IH N V EH N T AH D
INVENTED(1)  IH N V EH N T IH D
PRECISELY  P R IH S AY S L IY
PRECISELY(1)  P R IY S AY S L IY
FRANCISCO  F R AE N S IH S K OW
SETS  S EH T S
JEEZ  JH IY Z
PAYS  P EY Z
FOSTER  F AA S T ER
RELIEF  R IH L IY F
RELIEF(1)  R IY L IY F
CAPTURED  K AE P CH ER D
CLOUD  K L AW D
CORPSE  K AO R P S
REVEAL  R IH V IY L
REVEAL(1)  R IY V IY L
ORGANIZATION  AO R G AH N AH Z EY SH AH N
JENNIFER  JH EH N AH F ER
ANNOYING  AH N OY IH NG
HOST  HH OW S T
PHOTOGRAPH  F OW T AH G R AE F
TRANSPORT  T R AE N S P AO R T
TRANSPORT(1)  T R AE N S P AO R T
THEATRE  TH IY AH T ER
OXYGEN  AA K S AH JH AH N
OXYGEN(1)  AA K S IH JH AH N
COLOUR  K AH L ER
GAMBLING  G AE M B AH L IH NG
GAMBLING(1)  G AE M B L IH NG
CITIZEN  S IH T AH Z AH N
CITIZEN(1)  S IH T IH Z AH N
BENEATH  B IH N IY TH
LIZ  L IH Z
HOLDS  HH OW L D Z
IMPACT  IH M P AE K T
IMPACT(1)  IH M P AE K T
OFFENSE  AH F EH N S
CONFIDENT  K AA N F AH D AH N T
HID  HH IH D
SLIGHTLY  S L AY T L IY
PRODUCER  P R AH D UW S ER
APPLY  AH P L AY
KIT  K IH T
KNIGHT  N AY T
AD  AE D
ESCORT  EH S K AO R T
ESCORT(1)  EH S K AO R T
INTERESTS  IH N T R AH S T S
INTERESTS(1)  IH N T R IH S T S
INTERESTS(2)  IH N T ER AH S T S
INTERESTS(3)  IH N T ER IH S T S
BLAH  B L AA
INVITATION  IH N V IH T EY SH AH N
TERRORIST  T EH R AH R IH S T
EX  EH K S
DISCOVER  D IH S K AH V ER
OBEY  OW B EY
ANTHONY  AE N TH AO N IY
CLAY  K L EY
CLAIMS  K L EY M Z
WOO  W UW
INFORMED  IH N F AO R M D
MESSING  M EH S IH NG
REPRESENT  R EH P R AH Z EH N T
REPRESENT(1)  R EH P R IH Z EH N T
MINOR  M AY N ER
TRAGEDY  T R AE JH AH D IY
DISHES  D IH SH AH Z
DISHES(1)  D IH SH IH Z
BOMBS  B AA M Z
GATES  G EY T S
GREY  G R EY
MATH  M AE TH
OPTIONS  AA P SH AH N Z
OPTIONS(1)  AO P SH AH N Z
SHED  SH EH D
PIGS  P IH G Z
PROCEDURE  P R AH S IY JH ER
PROCEDURE(1)  P R OW S IY JH ER
MONITOR  M AA N AH T ER
ETHAN  IY TH AH N
AUTHORITIES  AH TH AO R AH T IY Z
HARVEY  HH AA R V IY
KEITH  K IY TH
PUNISHED  P AH N IH SH T
SPIN  S P IH N
FACING  F EY S IH NG
CLOWN  K L AW N
NATE  N EY T
BELLS  B EH L Z
NECKLACE  N EH K L AH S
COUNTRIES  K AH N T R IY Z
MUD  M AH D
STANLEY  S T AE N L IY
STUDIED  S T AH D IY D
DATES  D EY T S
JONATHAN  JH AA N AH TH AH N
PROFILE  P R OW F AY L
ANGLE  AE NG G AH L
FURNITURE  F ER N IH CH ER
ENGAGEMENT  EH N G EY JH M AH N T
MORON  M AO R AA N
KARL  K AA R L
EXISTS  IH G Z IH S T S
SHARK  SH AA R K
WORTHY  W ER DH IY
BO  B OW
RIPPED  R IH P T
HUMANITY  HH Y UW M AE N IH T IY
HUMANITY(1)  Y UW M AE N IH T IY
BOTTLES  B AA T AH L Z
EXTREME  IH K S T R IY M
CHOP  CH AA P
SNAP  S N AE P
FRANCIS  F R AE N S AH S
FRANCIS(1)  F R AE N S IH S
ACCOUNTS  AH K AW N T S
SHAWN  SH AO N
RESPOND  R IH S P AA N D
RESPOND(1)  R IY S P AA N D
TASTES  T EY S T S
SALES  S EY L Z
STUBBORN  S T AH B ER N
UNABLE  AH N EY B AH L
BEATS  B IY T S
JULY  JH UW L AY
JULY(1)  JH AH L AY
IMAGINED  IH M AE JH AH N D
MEANWHILE  M IY N W AY L
STABLE  S T EY B AH L
TECHNICALLY  T EH K N IH K AH L IY
TECHNICALLY(1)  T EH K N IH K L IY
SCIENTIFIC  S AY AH N T IH F IH K
GRANNY  G R AE N IY
MALCOLM  M AE L K AH M
SUCCEED  S AH K S IY D
POLE  P OW L
DANCER  D AE N S ER
FOOTAGE  F UH T IH JH
STUDIES  S T AH D IY Z
INCREASE  IH N K R IY S
INCREASE(1)  IH N K R IY S
ACTS  AE K T S
ACTS(1)  AE K S
PREVIOUS  P R IY V IY AH S
PAT  P AE T
STRETCH  S T R EH CH
HIGHEST  HH AY AH S T
ROMANCE  R OW M AE N S
ROMANCE(1)  R OW M AE N S
CHIPS  CH IH P S
BUSH  B UH SH
JACOB  JH EY K AH B
DAUGHTERS  D AO T ER Z
MARS  M AA R Z
HELICOPTER  HH EH L IH K AA P T ER
COMPANIES  K AH M P AH N IY Z
BLOCKS  B L AA K S
PITCH  P IH CH
WHEELS  W IY L Z
WHEELS(1)  HH W IY L Z
CARRIE  K EH R IY
ABSOLUTE  AE B S AH L UW T
PASSES  P AE S AH Z
PASSES(1)  P AE S IH Z
COKE  K OW K
CARED  K EH R D
INSTANCE  IH N S T AH N S
MATCHES  M AE CH AH Z
MATCHES(1)  M AE CH IH Z
SCHOOLS  S K UW L Z
LEMON  L EH M AH N
SHOCKED  SH AA K T
EXHAUSTED  IH G Z AO S T IH D
CAROLINE  K EH R AH L AY N
HEADACHE  HH EH D EY K
MATTHEW  M AE TH Y UW
RUBBISH  R AH B IH SH
DIVINE  D IH V AY N
MOANING  M OW N IH NG
RITA  R IY T AH
SESSION  S EH SH AH N
FASCINATING  F AE S AH N EY T IH NG
MARSHALL  M AA R SH AH L
PIN  P IH N
CHAMBER  CH EY M B ER
COMMERCIAL  K AH M ER SH AH L
GRANTED  G R AE N T AH D
GRANTED(1)  G R AE N T IH D
GRANTED(2)  G R AE N AH D
GRANTED(3)  G R AE N IH D
GRABBED  G R AE B D
LIVER  L IH V ER
PENIS  P IY N IH S
SYNC  S IH NG K
ATTACKS  AH T AE K S
THIRSTY  TH ER S T IY
ENGINEER  EH N JH AH N IH R
WALKER  W AO K ER
TOBY  T OW B IY
SUPPER  S AH P ER
JUMPING  JH AH M P IH NG
BUZZING  B AH Z IH NG
FIFTEEN  F IH F T IY N
FIFTEEN(1)  F IH F T IY N
SNEAK  S N IY K
LIQUOR  L IH K ER
DREAMED  D R IY M D
DRILL  D R IH L
THIEVES  TH IY V Z
EXPERIENCED  IH K S P IH R IY AH N S T
JUAN  W AA N
JUAN(1)  HH W AA N
THREATENING  TH R EH T AH N IH NG
THREATENING(1)  TH R EH T N IH NG
ALLEY  AE L IY
HOP  HH AA P
SERVING  S ER V IH NG
DESTRUCTION  D IH S T R AH K SH AH N
JUNK  JH AH NG K
COMPARED  K AH M P EH R D
ROCKET  R AA K AH T
BEGUN  B IH G AH N
BEGUN(1)  B EY G AH N
ELDER  EH L D ER
OPERA  AA P R AH
HIGHWAY  HH AY W EY
FIGHTER  F AY T ER
KICKING  K IH K IH NG
TYPICAL  T IH P AH K AH L
TYPICAL(1)  T IH P IH K AH L
CRIES  K R AY Z
SHELL  SH EH L
ALPHA  AE L F AH
TEACHERS  T IY CH ER Z
LIBERTY  L IH B ER T IY
OI  OY
PUNISH  P AH N IH SH
SURGEON  S ER JH AH N
SURGEON(1)  S ER JH IH N
CONSEQUENCES  K AA N S AH K W EH N S AH Z
PROTECTED  P R AH T EH K T IH D
FABULOUS  F AE B Y AH L AH S
SHARED  SH EH R D
BUM  B AH M
ACADEMY  AH K AE D AH M IY
INVESTIGATE  IH N V EH S T AH G EY T
FORT  F AO R T
CAPTURE  K AE P CH ER
RUTH  R UW TH
DRAGGED  D R AE G D
WIDOW  W IH D OW
EMOTIONS  IH M OW SH AH N Z
EMOTIONS(1)  IH M OW SH AH N Z
REVEREND  R EH V ER AH N D
REVEREND(1)  R EH V R AH N D
ETERNAL  IH T ER N AH L
ETERNAL(1)  IY T ER N AH L
INSULT  IH N S AH L T
INSULT(1)  IH N S AH L T
OLIVIA  OW L IH V IY AH
COMMENT  K AA M EH N T
ARTISTS  AA R T IH S T S
ARTS  AA R T S
SOAP  S OW P
PRICK  P R IH K
SUSPECTS  S AH S P EH K T S
SUSPECTS(1)  S AH S P EH K T S
SUSPECTS(2)  S AH S P EH K S
SUSPECTS(3)  S AH S P EH K S
SCALE  S K EY L
MAYA  M AY AH
GRIEF  G R IY F
NAUGHTY  N AO T IY
FLORIDA  F L AO R AH D AH
FLORIDA(1)  F L AO R IH D AH
FLORIDA(2)  F L AA R AH D AH
FLORIDA(3)  F L AA R IH D AH
NERVES  N ER V Z
REMOTE  R IH M OW T
REMOTE(1)  R IY M OW T
MORAL  M AO R AH L
DISTURB  D IH S T ER B
TROUBLES  T R AH B AH L Z
LIGHTNING  L AY T N IH NG
KNEE  N IY
SANDY  S AE N D IY
DEEPER  D IY P ER
SUPPLIES  S AH P L AY Z
TESTIFY  T EH S T IH F AY
SLUT  S L AH T
YAY  Y EY
ALBUM  AE L B AH M
DEFENDANT  D IH F EH N D AH N T
GODDESS  G AA D AH S
BEND  B EH N D
CREEPY  K R IY P IY
WASHED  W AA SH T
ELENA  EH L AH N AA
ELENA(1)  EH L EY N AA
MIAMI  M AY AE M IY
MAKEUP  M EY K AH P
LOYALTY  L OY AH L T IY
GROUPS  G R UW P S
POWDER  P AW D ER
GENE  JH IY N
LADS  L AE D Z
DIET  D AY AH T
PARENT  P EH R AH N T
COUNTS  K AW N T S
JAM  JH AE M
SALARY  S AE L ER IY
ALIBI  AE L AH B AY
LATIN  L AE T AH N
RELATIVES  R EH L AH T IH V Z
COLE  K OW L
STEVEN  S T IY V AH N
JOINING  JH OY N IH NG
DRIVES  D R AY V Z
POPULATION  P AA P Y AH L EY SH AH N
PEACEFUL  P IY S F AH L
BITTER  B IH T ER
GIMME  G IH M IY
AMBASSADOR  AE M B AE S AH D ER
LOCKER  L AA K ER
INTERNAL  IH N T ER N AH L
PRAISE  P R EY Z
TALKIN  T AA K AH N
VICTORIA  V IH K T AO R IY AH
PROPOSE  P R AH P OW Z
AARON  EH R AH N
SOUTHERN  S AH DH ER N
TRAUMA  T R AO M AH
SHORE  SH AO R
MONSTERS  M AA N S T ER Z
WEALTH  W EH L TH
NICELY  N AY S L IY
HONEYMOON  HH AH N IY M UW N
RANDOM  R AE N D AH M
BLADE  B L EY D
INDIANS  IH N D IY AH N Z
INVISIBLE  IH N V IH Z AH B AH L
INTENSE  IH N T EH N S
PAINTED  P EY N T AH D
PAINTED(1)  P EY N T IH D
PAINTED(2)  P EY N AH D
PAINTED(3)  P EY N IH D
BRIEF  B R IY F
WHISKEY  W IH S K IY
WHISKEY(1)  HH W IH S K IY
CORE  K AO R
AID  EY D
FITS  F IH T S
JOAN  JH OW N
LOUISE  L UW IY Z
DRIVEN  D R IH V AH N
SCREECHING  S K R IY CH IH NG
SINS  S IH N Z
TENT  T EH N T
COOKED  K UH K T
BLONDE  B L AA N D
INTENTION  IH N T EH N CH AH N
ABUSE  AH B Y UW S
ABUSE(1)  AH B Y UW Z
GUESSING  G EH S IH NG
FORMS  F AO R M Z
POETRY  P OW AH T R IY
ACTIVE  AE K T IH V
TWINS  T W IH N Z
JET  JH EH T
SERIAL  S IH R IY AH L
TALENTED  T AE L AH N T AH D
TALENTED(1)  T AE L AH N T IH D
RESISTANCE  R IH Z IH S T AH N S
RESISTANCE(1)  R IY Z IH S T AH N S
ASHLEY  AE SH L IY
TOOLS  T UW L Z
BEARD  B IH R D
WAILING  W EY L IH NG
TITS  T IH T S
REQUIRED  R IY K W AY ER D
REQUIRED(1)  R IY K W AY R D
INVESTIGATING  IH N V EH S T AH G EY T IH NG
STRATEGY  S T R AE T AH JH IY
HELPFUL  HH EH L P F AH L
GOAT  G OW T
WATERS  W AO T ER Z
SEPARATED  S EH P ER EY T AH D
SEPARATED(1)  S EH P ER EY T IH D
ARGUING  AA R G Y UW IH NG
BITCHES  B IH CH IH Z
AWARD  AH W AO R D
SAFELY  S EY F L IY
CORN  K AO R N
CHOICES  CH OY S AH Z
CHOICES(1)  CH OY S IH Z
WILLIAMS  W IH L Y AH M Z
PRO  P R OW
UPPER  AH P ER
ATTACHED  AH T AE CH T
MOTHERS  M AH DH ER Z
WICKED  W IH K AH D
CAESAR  S IY Z ER
YE  Y IY
YE(1)  Y EH
ZOE  Z OW IY
RANGERS  R EY N JH ER Z
NET  N EH T
SHOULDERS  SH OW L D ER Z
TATTOO  T AE T UW
TEND  T EH N D
BRITAIN  B R IH T AH N
STROKE  S T R OW K
NOVEL  N AA V AH L
CHAOS  K EY AA S
STABBED  S T AE B D
BURNT  B ER N T
SOCKS  S AA K S
K  K EY
SOLVED  S AA L V D
CANADA  K AE N AH D AH
VOTES  V OW T S
COLLEAGUE  K AA L IY G
SCIENTIST  S AY AH N T IH S T
ADMIRAL  AE D M ER AH L
BEANS  B IY N Z
FU  F UW
TALE  T EY L
STRING  S T R IH NG
SENDS  S EH N D Z
FIGHTS  F AY T S
DRESSING  D R EH S IH NG
WAREHOUSE  W EH R HH AW S
PLATES  P L EY T S
TRACKING  T R AE K IH NG
ELEPHANT  EH L AH F AH N T
NATALIE  N AE T AH L IY
MAINTAIN  M EY N T EY N
HOSTAGE  HH AA S T IH JH
POTATOES  P AH T EY T OW Z
LAZY  L EY Z IY
RELATIONSHIPS  R IY L EY SH AH N SH IH P S
OWEN  OW AH N
SYDNEY  S IH D N IY
PORN  P AO R N
BRANCH  B R AE N CH
OBJECTION  AH B JH EH K SH AH N
LAP  L AE P
DEPRESSED  D IH P R EH S T
POSSESSION  P AH Z EH SH AH N
SEPTEMBER  S EH P T EH M B ER
VISITORS  V IH Z IH T ER Z
OCCURRED  AH K ER D
MONICA  M AA N IH K AH
VON  V AO N
NICOLE  N IH K OW L
RECORDED  R AH K AO R D AH D
RECORDED(1)  R IH K AO R D IH D
TAP  T AE P
SUPERIOR  S UW P IH R IY ER
CHIN  CH IH N
PROMISES  P R AA M AH S AH Z
SODA  S OW D AH
RUB  R AH B
IMAGES  IH M AH JH AH Z
IMAGES(1)  IH M IH JH IH Z
COMMISSION  K AH M IH SH AH N
HAROLD  HH EH R AH L D
CINEMA  S IH N AH M AH
HAPPILY  HH AE P AH L IY
COVERING  K AH V ER IH NG
COVERING(1)  K AH V R IH NG
TRANSFERRED  T R AE N S F ER D
TRANSFERRED(1)  T R AE N S F ER D
MUSCLE  M AH S AH L
POEM  P OW AH M
KOREA  K AO R IY AH
JIN  JH IH N
APPEAL  AH P IY L
SHAKING  SH EY K IH NG
STEAK  S T EY K
SURVIVAL  S ER V AY V AH L
CRAIG  K R EY G
SHARING  SH EH R IH NG
SUPERMAN  S UW P ER M AH N
SUPERMAN(1)  S UW P ER M AE N
WENDY  W EH N D IY
MUSICAL  M Y UW Z IH K AH L
HEAL  HH IY L
RAYMOND  R EY M AH N D
PAGES  P EY JH AH Z
PAGES(1)  P EY JH IH Z
MAGNIFICENT  M AE G N IH F AH S AH N T
MAGNIFICENT(1)  M AE G N IH F IH S AH N T
JULIAN  JH UW L IY AH N
JULIAN(1)  JH UW L Y AH N
PHILIP  F IH L AH P
PHILIP(1)  F IH L IH P
PROFIT  P R AA F AH T
PROFIT(1)  P R AA F IH T
ENORMOUS  IH N AO R M AH S
ENORMOUS(1)  IH N AO R M IH S
ENORMOUS(2)  IY N AO R M AH S
ENORMOUS(3)  IY N AO R M IH S
JERSEY  JH ER Z IY
SYMBOL  S IH M B AH L
RAW  R AA
FOND  F AA N D
MADNESS  M AE D N AH S
DEVELOPMENT  D IH V EH L AH P M AH N T
COOKIES  K UH K IY Z
SAIL  S EY L
HAN  HH AA N
HAN(1)  HH AE N
TOOTH  T UW TH
GLOVES  G L AH V Z
ALEXANDER  AE L IH G Z AE N D ER
HERR  HH EH R
CHECKS  CH EH K S
REVIEW  R IY V Y UW
BASKETBALL  B AE S K AH T B AO L
MANAGEMENT  M AE N AH JH M AH N T
MANAGEMENT(1)  M AE N IH JH M AH N T
ROADS  R OW D Z
TUBE  T UW B
TUBE(1)  T Y UW B
FEEDING  F IY D IH NG
RIFLE  R AY F AH L
BEARS  B EH R Z
LOG  L AO G
CAUSING  K AA Z IH NG
CAUSING(1)  K AO Z IH NG
ADMIRE  AE D M AY R
APPROPRIATE  AH P R OW P R IY AH T
APPROPRIATE(1)  AH P R OW P R IY EY T
POS  P AA S
POS(1)  P IY OW EH S
TOYS  T OY Z
RUSSIANS  R AH SH AH N Z
QUARTERS  K W AO R T ER Z
BEE  B IY
SQUEEZE  S K W IY Z
EXPOSED  IH K S P OW Z D
CONNECT  K AH N EH K T
CITIES  S IH T IY Z
CENTURIES  S EH N CH ER IY Z
MANNER  M AE N ER
FREEZING  F R IY Z IH NG
BLESSING  B L EH S IH NG
SHANE  SH EY N
ENTRY  EH N T R IY
CABLE  K EY B AH L
PAN  P AE N
NATIVE  N EY T IH V
MARCO  M AA R K OW
CENTS  S EH N T S
CENTS(1)  S EH N S
CRITICAL  K R IH T IH K AH L
CONSTANTLY  K AA N S T AH N T L IY
DIFFERENTLY  D IH F R AH N T L IY
DIFFERENTLY(1)  D IH F ER EH N T L IY
WAITER  W EY T ER
GLOBAL  G L OW B AH L
BUZZ  B AH Z
JUDGES  JH AH JH IH Z
BRICK  B R IH K
DEADLY  D EH D L IY
PORK  P AO R K
PILE  P AY L
EXPRESSION  IH K S P R EH SH AH N
CLAN  K L AE N
FACILITY  F AH S IH L IH T IY
EMPLOYEES  EH M P L OY IY Z
EMPLOYEES(1)  IH M P L OY IY Z
RECEPTION  R IH S EH P SH AH N
RECEPTION(1)  R IY S EH P SH AH N
CATCHING  K AE CH IH NG
RAM  R AE M
EXPLAINED  IH K S P L EY N D
STATUE  S T AE CH UW
SATELLITE  S AE T AH L AY T
DIANA  D AY AE N AH
POLISH  P AA L IH SH
POLISH(1)  P OW L IH SH
POUND  P AW N D
COMMUNICATION  K AH M Y UW N AH K EY SH AH N
NELSON  N EH L S AH N
FRIDGE  F R IH JH
CHARACTERS  K AE R IH K T ER Z
CHARACTERS(1)  K EH R IH K T ER Z
MOSCOW  M AA S K OW
MOSCOW(1)  M AO S K AW
RECOMMEND  R EH K AH M EH N D
LEADERS  L IY D ER Z
ABANDON  AH B AE N D AH N
FOUNDATION  F AW N D EY SH AH N
ANXIOUS  AE NG K SH AH S
ANXIOUS(1)  AE NG SH AH S
AREAS  EH R IY AH Z
STEPPED  S T EH P T
BUILDINGS  B IH L D IH NG Z
REMARKABLE  R IH M AA R K AH B AH L
REMARKABLE(1)  R IY M AA R K AH B AH L
DRAWN  D R AO N
APPEARANCE  AH P IH R AH N S
LEVELS  L EH V AH L Z
BANGING  B AE NG IH NG
PROPOSAL  P R AH P OW Z AH L
SAMMY  S AE M IY
COMBAT  K AA M B AE T
COMBAT(1)  K AH M B AE T
SLIDE  S L AY D
RESOURCES  R IY S AO R S IH Z
COLLEAGUES  K AA L IY G Z
CONVERSATIONS  K AA N V ER S EY SH AH N Z
DELAY  D IH L EY
WARS  W AO R Z
LABOR  L EY B ER
BURDEN  B ER D AH N
MANNERS  M AE N ER Z
AWFULLY  AO F AH L IY
ENTERING  EH N T ER IH NG
ENTERING(1)  EH N ER IH NG
ACTORS  AE K T ER Z
PAYMENT  P EY M AH N T
CREATING  K R IY EY T IH NG
HUMMING  HH AH M IH NG
MALL  M AO L
SHORTLY  SH AO R T L IY
VISITED  V IH Z IH T IH D
PAPERWORK  P EY P ER W ER K
LAMB  L AE M
HALFWAY  HH AE F W EY
ITEM  AY T AH M
TESTIMONY  T EH S T IH M OW N IY
HIP  HH IH P
PROM  P R AA M
PATCH  P AE CH
ASSIGNMENT  AH S AY N M AH N T
MOTEL  M OW T EH L
FRAUD  F R AO D
HOMELESS  HH OW M L AH S
DESSERT  D IH Z ER T
INJURY  IH N JH ER IY
WEB  W EH B
OBSESSED  AH B S EH S T
BETRAY  B IH T R EY
DROPS  D R AA P S
BOUT  B AW T
SACK  S AE K
SOIL  S OY L
BADGE  B AE JH
MOUNT  M AW N T
WASHING  W AA SH IH NG
STICKS  S T IH K S
CHRISTINE  K R IH S T IY N
METERS  M IY T ER Z
MOTOR  M OW T ER
GLORIA  G L AO R IY AH
RETURNS  R IH T ER N Z
RETURNS(1)  R IY T ER N Z
DESCRIPTION  D IH S K R IH P SH AH N
BATTERY  B AE T ER IY
ULTIMATE  AH L T AH M AH T
COMPLAINT  K AH M P L EY N T
COWBOY  K AW B OY
UNFORTUNATE  AH N F AO R CH AH N AH T
UNFORTUNATE(1)  AH N F AO R CH UW N AH T
PROVED  P R UW V D
KINGS  K IH NG Z
MEETINGS  M IY T IH NG Z
PRIVACY  P R AY V AH S IY
FORBIDDEN  F AO R B IH D AH N
FORBIDDEN(1)  F ER R B IH D AH N
WISDOM  W IH Z D AH M
CONTRARY  K AA N T R EH R IY
CONTRARY(1)  K AH N T R EH R IY
TREATING  T R IY T IH NG
TORN  T AO R N
SEARCHED  S ER CH T
ABROAD  AH B R AO D
CRANE  K R EY N
LEAK  L IY K
PILL  P IH L
SUITCASE  S UW T K EY S
VODKA  V AA D K AH
MEL  M EH L
NORMAN  N AO R M AH N
EAGLE  IY G AH L
COLORS  K AH L ER Z
FIRES  F AY ER Z
FIRES(1)  F AY R Z
CHEMICAL  K EH M IH K AH L
CATHOLIC  K AE TH L IH K
EATS  IY T S
BARON  B AE R AH N
BARON(1)  B EH R AH N
SOCCER  S AA K ER
ACE  EY S
BRUSH  B R AH SH
RETIRED  R IH T AY R D
RETIRED(1)  R IY T AY ER D
RETIRED(2)  R IY T AY R D
ILLNESS  IH L N AH S
SANG  S AE NG
FLIP  F L IH P
TONS  T AH N Z
TWIST  T W IH S T
OCTOBER  AA K T OW B ER
MARINE  M ER IY N
CHAPTER  CH AE P T ER
LO  L OW
MEASURE  M EH ZH ER
CHICKS  CH IH K S
MIA  M IY AH
RACING  R EY S IH NG
RADAR  R EY D AA R
SOVIET  S OW V IY AH T
SOVIET(1)  S OW V IY EH T
CUTS  K AH T S
EDITOR  EH D AH T ER
EDITOR(1)  EH D IH T ER
MAGICAL  M AE JH IH K AH L
TEMPORARY  T EH M P ER EH R IY
AFFECT  AH F EH K T
STRUCTURE  S T R AH K CH ER
RECOVER  R IH K AH V ER
MARSHAL  M AA R SH AH L
SONNY  S AH N IY
BID  B IH D
PALM  P AA M
PALM(1)  P AA L M
INNER  IH N ER
HANDED  HH AE N D AH D
HANDED(1)  HH AE N D IH D
WHISTLING  W IH S L IH NG
WHISTLING(1)  HH W IH S L IH NG
PUB  P AH B
FINGERPRINTS  F IH NG G ER P R IH N T S
ANALYSIS  AE N AE L IH S IH S
THRONE  TH R OW N
BARN  B AA R N
SUSPECTED  S AH S P EH K T AH D
SUSPECTED(1)  S AH S P EH K T IH D
WEARS  W EH R Z
BOTHERED  B AA DH ER D
FINEST  F AY N AH S T
RAGE  R EY JH
FLEET  F L IY T
ROUNDS  R AW N D Z
ROUNDS(1)  R AW N Z
ROSES  R OW Z IH Z
IRISH  AY R IH SH
INTRODUCED  IH N T R AH D UW S T
INTRODUCED(1)  IH N T R OW D UW S T
DAMAGED  D AE M AH JH D
DAMAGED(1)  D AE M IH JH D
TRAGIC  T R AE JH IH K
PIERRE  P IY EH R
BUDGET  B AH JH IH T
BOOKED  B UH K T
V  V IY
ROCKY  R AA K IY
HUMOR  HH Y UW M ER
SOFTLY  S AO F T L IY
SOFTLY(1)  S AO F L IY
EMPLOYEE  EH M P L OY IY
EMPLOYEE(1)  IH M P L OY IY
MEDICATION  M EH D AH K EY SH AH N
WILLIE  W IH L IY
LAUREN  L AO R AH N
MULTIPLE  M AH L T AH P AH L
NEIL  N IY L
BOOZE  B UW Z
SIS  S IH S
FELIX  F IY L IH K S
TURTLE  T ER T AH L
NUT  N AH T
COIN  K OY N
CURRENTLY  K ER AH N T L IY
YARDS  Y AA R D Z
SLAVES  S L EY V Z
BASIS  B EY S AH S
BASIS(1)  B EY S IH S
NOWADAYS  N AW AH D EY Z
EFFECTIVE  IH F EH K T IH V
EFFECTIVE(1)  IY F EH K T IH V
IVAN  AY V AH N
DISCUSSION  D IH S K AH SH AH N
TEMPER  T EH M P ER
PLOT  P L AA T
CREATIVE  K R IY EY T IH V
CASINO  K AH S IY N OW
POKER  P OW K ER
QUINN  K W IH N
FARMER  F AA R M ER
ACHIEVE  AH CH IY V
COUNTER  K AW N T ER
BITS  B IH T S
REQUIRE  R IY K W AY ER
REQUIRE(1)  R IY K W AY R
REQUIRE(2)  R IH K W AY ER
FUCKER  F AH K ER
PLANES  P L EY N Z
STICKING  S T IH K IH NG
LOGAN  L OW G AH N
RECOGNIZED  R EH K AH G N AY Z D
KHAN  K AA N
DELIGHTED  D IH L AY T AH D
DELIGHTED(1)  D IH L AY T IH D
PROVIDED  P R AH V AY D AH D
PROVIDED(1)  P R AH V AY D IH D
REPAIR  R IH P EH R
RISING  R AY Z IH NG
CHAN  CH AE N
COLIN  K OW L IH N
JANET  JH AE N AH T
JANET(1)  JH AE N IH T
ADVANCED  AH D V AE N S T
CAUSES  K AA Z AH Z
CAUSES(1)  K AO Z IH Z
VARIOUS  V EH R IY AH S
ENGINES  EH N JH AH N Z
COOKIE  K UH K IY
NECESSARILY  N EH S AH S EH R AH L IY
DEMONS  D IY M AH N Z
LAME  L EY M
PREPARING  P R IY P EH R IH NG
PREPARING(1)  P ER P EH R IH NG
TH  T IY EY CH
BAKER  B EY K ER
MASSAGE  M AH S AA ZH
GRAHAM  G R EY AH M
GRAHAM(1)  G R AE M
ANTONIO  AE N T OW N IY OW
ENTERTAINMENT  EH N T ER T EY N M AH N T
ENTERTAINMENT(1)  EH N ER T EY N M AH N T
BUCKET  B AH K IH T
OWNED  OW N D
WHIP  W IH P
WHIP(1)  HH W IH P
FORGIVENESS  F ER G IH V N AH S
FORGIVENESS(1)  F AO R G IH V N AH S
DELICATE  D EH L AH K AH T
SOLAR  S OW L ER
ADRIAN  EY D R IY AH N
POCKETS  P AA K AH T S
HERCULES  HH ER K Y AH L IY Z
SPIDER  S P AY D ER
PRAYERS  P R EH R Z
PRAYERS(1)  P R EY ER Z
PHASE  F EY Z
PASSENGERS  P AE S AH N JH ER Z
DIARY  D AY ER IY
DIARY(1)  D AY R IY
BLANKET  B L AE NG K AH T
BLANKET(1)  B L AE NG K IH T
COMEDY  K AA M AH D IY
